Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,WithWords,ValueStart,ValueEnd,InURL,InRuntimeParameter,CharacterSet,CryptographyKey,PredefinedPattern,VariableNameType,Entropy,Length,Base64Encode,HexEncode,URLEncode,Category
1104,4e7a2ace,GitHub,87e029df,data/87e029df/test/4e7a2ace.js,506,506,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
3063,ce00acd0,GitHub,87e029df,data/87e029df/test/ce00acd0.js,39,39,F,F,,,F,F,,,,,0,0,F,F,F,Nonce
6102,be42be26,GitHub,87e029df,data/87e029df/src/be42be26.js,228,228,F,F,,,F,F,,,,,0,0,F,F,F,Password
7579,17a6313f,GitHub,87e029df,data/87e029df/test/17a6313f.js,167,167,F,F,,,F,F,,,,,0,0,F,F,F,Token
9045,2b58a550,GitHub,87e029df,data/87e029df/src/2b58a550.js,12,12,F,F,,,F,F,,,,,0,0,F,F,F,Token
10361,17a6313f,GitHub,87e029df,data/87e029df/test/17a6313f.js,176,176,F,F,,,F,F,,,,,0,0,F,F,F,Auth
14083,17a6313f,GitHub,87e029df,data/87e029df/test/17a6313f.js,186,186,F,F,,,F,F,,,,,0,0,F,F,F,Password
14619,ee5ca20a,GitHub,87e029df,data/87e029df/test/ee5ca20a.js,26,26,F,F,,,F,F,,,,,0,0,F,F,F,Token
14635,86549715,GitHub,87e029df,data/87e029df/test/86549715.js,22,22,F,F,,,F,F,,,,,0,0,F,F,F,Token
15850,ff412d04,GitHub,87e029df,data/87e029df/src/ff412d04.js,12,12,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
15877,5956d0d6,GitHub,87e029df,data/87e029df/src/5956d0d6.js,7,7,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
15879,5956d0d6,GitHub,87e029df,data/87e029df/src/5956d0d6.js,6,6,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
15908,4aac55f4,GitHub,87e029df,data/87e029df/src/4aac55f4.js,9,9,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
16840,a5c553bb,GitHub,87e029df,data/87e029df/test/a5c553bb.js,50,50,F,F,,,F,F,,,,,0,0,F,F,F,Token
17083,17a6313f,GitHub,87e029df,data/87e029df/test/17a6313f.js,88,88,F,F,,,F,F,,,,,0,0,F,F,F,Auth:Token
17358,4be6e2e3,GitHub,87e029df,data/87e029df/src/4be6e2e3.js,11,11,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
17359,c10b6593,GitHub,87e029df,data/87e029df/src/c10b6593.js,7,7,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
17783,2e683ba1,GitHub,87e029df,data/87e029df/test/2e683ba1.js,122,122,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Other
20351,114a2bc3,GitHub,87e029df,data/87e029df/src/114a2bc3.js,62,62,F,F,,,F,F,,,,,0,0,F,F,F,Auth
24663,49184833,GitHub,87e029df,data/87e029df/other/49184833.md,5,5,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Other
24982,a3046da0,GitHub,87e029df,data/87e029df/test/a3046da0.example,3,3,Template,T,9,18,F,F,CharOnly,,,Token,2.64,9,F,F,F,Token
25094,6f213444,GitHub,87e029df,data/87e029df/other/6f213444.md,107,107,F,F,,,F,F,,,,,0,0,F,F,F,Auth
34633,79a1cf27,GitHub,87e029df,data/87e029df/test/79a1cf27.js,29,29,F,F,7,102,F,F,,,,,0.0,0,F,F,F,Other
34634,79a1cf27,GitHub,87e029df,data/87e029df/test/79a1cf27.js,49,49,F,F,7,102,F,F,,,,,0.0,0,F,F,F,Other
34900,17a6313f,GitHub,87e029df,data/87e029df/test/17a6313f.js,93,93,Template,T,16,24,F,F,CharsOnly,,,Token,2.16,8,F,F,F,Token
35000,0aa2d3d2,GitHub,87e029df,data/87e029df/test/0aa2d3d2.json,5,5,Template,T,35,40,T,F,CharsOnly,,,Secret,2.32,5,F,F,F,URL Credentials
35001,1faa942a,GitHub,87e029df,data/87e029df/test/1faa942a.js,98,98,T,T,37,42,T,F,CharsOnly,,,Secret,2.32,5,F,F,F,URL Credentials
35787,6f634e8e,GitHub,87e029df,data/87e029df/test/6f634e8e.ini,5,5,T,F,33,69,F,F,Any,,,Token,3.57,36,F,F,F,Auth:Token:UUID
36076,17a6313f,GitHub,87e029df,data/87e029df/test/17a6313f.js,112,112,T,T,20,24,F,F,CharsOnly,,,Secret,1.5,4,F,F,F,Password
37264,17a6313f,GitHub,87e029df,data/87e029df/test/17a6313f.js,170,170,Template,T,16,24,F,F,CharsOnly,,,Token,2.16,8,F,F,F,Token
37562,17a6313f,GitHub,87e029df,data/87e029df/test/17a6313f.js,125,125,T,T,19,23,F,F,CharsOnly,,,Secret,1.5,4,F,F,F,Password
37563,17a6313f,GitHub,87e029df,data/87e029df/test/17a6313f.js,153,153,T,T,19,23,F,F,CharsOnly,,,Secret,1.5,4,F,F,F,Password
42706,be42be26,GitHub,87e029df,data/87e029df/src/be42be26.js,226,226,F,F,,,F,F,,,,,0,0,F,F,F,Password
47238,17a6313f,GitHub,87e029df,data/87e029df/test/17a6313f.js,99,99,F,F,,,F,F,,,,,0,0,F,F,F,Auth:Token
47239,17a6313f,GitHub,87e029df,data/87e029df/test/17a6313f.js,160,160,F,F,,,F,F,,,,,0,0,F,F,F,Auth:Token
48074,79a1cf27,GitHub,87e029df,data/87e029df/test/79a1cf27.js,27,27,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Other
48075,79a1cf27,GitHub,87e029df,data/87e029df/test/79a1cf27.js,47,47,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Other
74804,be42be26,GitHub,87e029df,data/87e029df/src/be42be26.js,190,190,F,F,,,F,F,,,,,0,0,F,F,F,Password
74805,8aef0be9,GitHub,87e029df,data/87e029df/src/8aef0be9.js,84,84,F,F,,,F,F,,,,,0,0,F,F,F,Password
74897,ee5ca20a,GitHub,87e029df,data/87e029df/test/ee5ca20a.js,34,34,F,F,,,F,F,,,,,0,0,F,F,F,Token
74898,ee5ca20a,GitHub,87e029df,data/87e029df/test/ee5ca20a.js,43,43,F,F,,,F,F,,,,,0,0,F,F,F,Token
74899,86549715,GitHub,87e029df,data/87e029df/test/86549715.js,30,30,F,F,,,F,F,,,,,0,0,F,F,F,Token
75575,17a6313f,GitHub,87e029df,data/87e029df/test/17a6313f.js,184,184,F,F,,,F,F,,,,,0,0,F,F,F,Token
75576,8aef0be9,GitHub,87e029df,data/87e029df/src/8aef0be9.js,82,82,F,F,,,F,F,,,,,0,0,F,F,F,Token
