Id,FileID,Domain,RepoName,FilePath,LineStart,LineEnd,GroundTruth,WithWords,ValueStart,ValueEnd,InURL,InRuntimeParameter,CharacterSet,CryptographyKey,PredefinedPattern,VariableNameType,Entropy,Length,Base64Encode,HexEncode,URLEncode,Category
1900,7c376d97,GitHub,964f9856,data/964f9856/test/7c376d97.js,66,66,F,F,,,F,F,,,,,0,0,F,F,F,Password
5977,f7dc29b5,GitHub,964f9856,data/964f9856/test/f7dc29b5.js,545,545,F,F,,,F,F,,,,,0,0,F,F,F,API
5999,cea484de,GitHub,964f9856,data/964f9856/test/cea484de.js,11,11,Template,T,33,46,F,F,Any,,,Secret,2.82,13,F,F,F,Secret
13901,93b3a198,GitHub,964f9856,data/964f9856/test/93b3a198.js,38,38,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Key
15785,c03f99ad,GitHub,964f9856,data/964f9856/src/c03f99ad.js,743,743,F,F,,,F,F,,,,,0,0,F,F,F,API:Key
17236,5f2adcf2,GitHub,964f9856,data/964f9856/test/5f2adcf2.js,19,19,F,F,,,F,F,,,,,0,0,F,F,F,Auth
17394,590f170a,GitHub,964f9856,data/964f9856/test/590f170a.js,18,18,F,F,,,F,F,,,,,0,0,F,F,F,API:Key
17395,590f170a,GitHub,964f9856,data/964f9856/test/590f170a.js,74,74,F,F,,,F,F,,,,,0,0,F,F,F,API:Key
17396,590f170a,GitHub,964f9856,data/964f9856/test/590f170a.js,45,45,F,F,,,F,F,,,,,0,0,F,F,F,API:Key
26016,ed3d2f58,GitHub,964f9856,data/964f9856/test/ed3d2f58.ejs,14,14,F,F,,,F,F,,,,,0,0,F,F,F,Password
29941,a7332564,GitHub,964f9856,data/964f9856/test/a7332564.js,18,18,Template,T,11,23,F,F,Any,,,Secret,3.12,12,F,F,F,Secret
29942,478ba5ce,GitHub,964f9856,data/964f9856/test/478ba5ce.js,21,21,Template,T,11,23,F,F,Any,,,Secret,3.12,12,F,F,F,Secret
29944,7c376d97,GitHub,964f9856,data/964f9856/test/7c376d97.js,23,23,Template,T,11,29,F,F,Any,,,Secret,2.54,18,F,F,F,Secret
29945,00be81cc,GitHub,964f9856,data/964f9856/test/00be81cc.js,41,41,Template,T,11,27,F,F,Any,,,Secret,2.52,16,F,F,F,Secret
30890,d2c85254,GitHub,964f9856,data/964f9856/test/d2c85254.js,29,29,Template,F,38,44,F,F,CharsOnly,,,Secret,2.25,6,F,F,F,Password
30902,d2c85254,GitHub,964f9856,data/964f9856/test/d2c85254.js,62,62,Template,F,34,40,F,F,CharsOnly,,,Secret,2.25,6,F,F,F,Password
31369,7c376d97,GitHub,964f9856,data/964f9856/test/7c376d97.js,48,48,Template,F,18,24,F,F,CharsOnly,,,Secret,2.25,6,F,F,F,Password
35374,e216390b,GitHub,964f9856,data/964f9856/test/e216390b.js,137,137,F,F,26,57,F,F,,,,,0.0,0,F,F,F,Other
37435,e216390b,GitHub,964f9856,data/964f9856/test/e216390b.js,206,206,F,F,26,57,F,F,,,,,0.0,0,F,F,F,Other
37436,e216390b,GitHub,964f9856,data/964f9856/test/e216390b.js,435,435,F,F,28,59,F,F,,,,,0.0,0,F,F,F,Other
47671,7fbe80b1,GitHub,964f9856,data/964f9856/test/7fbe80b1.js,196,196,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Other
47672,e2982f07,GitHub,964f9856,data/964f9856/test/e2982f07.js,218,218,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Other
47719,d2c85254,GitHub,964f9856,data/964f9856/test/d2c85254.js,79,79,Template,F,38,44,F,F,CharsOnly,,,Secret,2.25,6,F,F,F,Password
47720,d2c85254,GitHub,964f9856,data/964f9856/test/d2c85254.js,97,97,Template,F,34,40,F,F,CharsOnly,,,Secret,2.25,6,F,F,F,Password
47832,7fbe80b1,GitHub,964f9856,data/964f9856/test/7fbe80b1.js,584,584,F,F,-1,-1,F,F,,,,,0.0,0,F,F,F,Other
82546,7fbe80b1,GitHub,964f9856,data/964f9856/test/7fbe80b1.js,210,210,F,F,8,110,F,F,,,,,0.0,0,F,F,F,Other
82551,7fbe80b1,GitHub,964f9856,data/964f9856/test/7fbe80b1.js,576,576,F,F,6,108,F,F,,,,,0.0,0,F,F,F,Other
82552,7fbe80b1,GitHub,964f9856,data/964f9856/test/7fbe80b1.js,592,592,F,F,6,108,F,F,,,,,0.0,0,F,F,F,Other
82553,e2982f07,GitHub,964f9856,data/964f9856/test/e2982f07.js,232,232,F,F,8,98,F,F,,,,,0.0,0,F,F,F,Other
82554,e2982f07,GitHub,964f9856,data/964f9856/test/e2982f07.js,666,666,F,F,6,96,F,F,,,,,0.0,0,F,F,F,Other
82555,e2982f07,GitHub,964f9856,data/964f9856/test/e2982f07.js,682,682,F,F,6,96,F,F,,,,,0.0,0,F,F,F,Other
100396,7c376d97,GitHub,964f9856,data/964f9856/test/7c376d97.js,63,63,F,F,,,F,F,,,,,0.00,,F,F,F,Password
